Time,GSR
24.01.17 01:05:56.052,340330.000
24.01.17 01:05:56.249,340330.000
24.01.17 01:05:56.851,340330.000
24.01.17 01:05:56.871,340330.000
24.01.17 01:05:56.960,340330.000
24.01.17 01:05:57.028,340330.000
24.01.17 01:05:57.628,340330.000
24.01.17 01:05:57.724,340330.000
24.01.17 01:05:58.002,340330.000
24.01.17 01:05:58.114,340330.000
24.01.17 01:05:58.227,340330.000
24.01.17 01:05:58.314,340330.000
24.01.17 01:05:58.407,340330.000
24.01.17 01:05:58.587,340330.000
24.01.17 01:05:58.797,340330.000
24.01.17 01:05:58.982,340330.000
24.01.17 01:05:59.186,340330.000
24.01.17 01:05:59.372,340330.000
24.01.17 01:05:59.576,340330.000
24.01.17 01:05:59.757,340330.000
24.01.17 01:05:59.967,340330.000
24.01.17 01:06:00.245,340330.000
24.01.17 01:06:00.440,340330.000
24.01.17 01:06:00.647,340330.000
24.01.17 01:06:00.830,340330.000
24.01.17 01:06:01.026,340330.000
24.01.17 01:06:01.220,340330.000
24.01.17 01:06:01.414,340330.000
24.01.17 01:06:01.624,340330.000
24.01.17 01:06:01.805,340330.000
24.01.17 01:06:02.406,340330.000
24.01.17 01:06:02.501,340330.000
24.01.17 01:06:02.697,340330.000
24.01.17 01:06:02.802,340330.000
24.01.17 01:06:02.907,340330.000
24.01.17 01:06:02.975,340330.000
24.01.17 01:06:03.184,340330.000
24.01.17 01:06:03.366,340330.000
24.01.17 01:06:03.574,340330.000
24.01.17 01:06:03.756,340330.000
24.01.17 01:06:03.964,340330.000
24.01.17 01:06:04.145,340330.000
24.01.17 01:06:04.356,340330.000
24.01.17 01:06:04.535,340330.000
24.01.17 01:06:04.828,340330.000
24.01.17 01:06:05.414,340330.000
24.01.17 01:06:05.524,340330.000
24.01.17 01:06:05.621,340330.000
24.01.17 01:06:05.817,340330.000
24.01.17 01:06:05.914,340330.000
24.01.17 01:06:06.025,340330.000
24.01.17 01:06:06.194,340330.000
24.01.17 01:06:06.387,340330.000
24.01.17 01:06:06.583,340330.000
24.01.17 01:06:06.779,340330.000
24.01.17 01:06:06.973,340330.000
24.01.17 01:06:07.570,340330.000
24.01.17 01:06:07.660,340330.000
24.01.17 01:06:07.868,340330.000
24.01.17 01:06:07.882,340330.000
24.01.17 01:06:07.960,340330.000
24.01.17 01:06:08.149,340330.000
24.01.17 01:06:08.743,340330.000
24.01.17 01:06:08.853,340330.000
24.01.17 01:06:09.022,340330.000
24.01.17 01:06:09.052,340330.000
24.01.17 01:06:09.134,340330.000
24.01.17 01:06:09.816,340330.000
24.01.17 01:06:09.996,340330.000
24.01.17 01:06:10.110,340330.000
24.01.17 01:06:10.123,340330.000
24.01.17 01:06:10.204,340330.000
24.01.17 01:06:10.387,340330.000
24.01.17 01:06:10.596,340330.000
24.01.17 01:06:10.776,340330.000
24.01.17 01:06:11.375,340330.000
24.01.17 01:06:11.556,340330.000
24.01.17 01:06:11.667,340330.000
24.01.17 01:06:11.848,340330.000
24.01.17 01:06:12.045,340330.000
24.01.17 01:06:12.066,340330.000
24.01.17 01:06:12.155,340330.000
24.01.17 01:06:12.335,340330.000
24.01.17 01:06:12.544,340330.000
24.01.17 01:06:13.131,340330.000
24.01.17 01:06:13.239,340330.000
24.01.17 01:06:13.410,340330.000
24.01.17 01:06:13.437,340330.000
24.01.17 01:06:13.529,340330.000
24.01.17 01:06:13.715,340330.000
24.01.17 01:06:14.302,340330.000
24.01.17 01:06:14.480,340330.000
24.01.17 01:06:14.589,340330.000
24.01.17 01:06:14.789,340330.000
24.01.17 01:06:14.803,340330.000
24.01.17 01:06:15.374,340330.000
24.01.17 01:06:15.469,340330.000
24.01.17 01:06:15.661,340330.000
24.01.17 01:06:15.846,340330.000
24.01.17 01:06:15.956,340330.000
24.01.17 01:06:16.046,340330.000
24.01.17 01:06:16.152,340330.000
24.01.17 01:06:16.333,340330.000
24.01.17 01:06:16.544,340330.000
24.01.17 01:06:16.723,340330.000
24.01.17 01:06:16.926,340330.000
24.01.17 01:06:17.113,340330.000
24.01.17 01:06:17.318,340330.000
24.01.17 01:06:17.503,340330.000
24.01.17 01:06:17.716,340330.000
24.01.17 01:06:17.908,340330.000
24.01.17 01:06:18.094,340330.000
24.01.17 01:06:18.679,340330.000
24.01.17 01:06:18.882,340330.000
24.01.17 01:06:19.063,340330.000
24.01.17 01:06:19.181,340330.000
24.01.17 01:06:19.267,340330.000
24.01.17 01:06:19.387,340330.000
24.01.17 01:06:19.551,340330.000
24.01.17 01:06:19.754,340330.000
24.01.17 01:06:20.018,340330.000
24.01.17 01:06:20.239,340330.000
24.01.17 01:06:20.364,340330.000
24.01.17 01:06:20.687,340330.000
24.01.17 01:06:20.721,340330.000
24.01.17 01:06:21.319,340330.000
24.01.17 01:06:21.403,340330.000
24.01.17 01:06:21.599,340330.000
24.01.17 01:06:21.794,340330.000
24.01.17 01:06:21.907,340330.000
24.01.17 01:06:21.989,340330.000
24.01.17 01:06:22.096,340330.000
24.01.17 01:06:22.281,340330.000
24.01.17 01:06:22.486,340330.000
24.01.17 01:06:22.671,340330.000
24.01.17 01:06:22.876,340330.000
24.01.17 01:06:23.159,340330.000
24.01.17 01:06:23.354,340330.000
24.01.17 01:06:23.549,340330.000
24.01.17 01:06:23.743,340330.000
24.01.17 01:06:23.939,340330.000
24.01.17 01:06:24.134,340330.000
24.01.17 01:06:24.330,340330.000
24.01.17 01:06:24.524,340330.000
24.01.17 01:06:24.719,340330.000
24.01.17 01:06:24.913,340330.000
24.01.17 01:06:25.109,340330.000
24.01.17 01:06:25.303,340330.000
24.01.17 01:06:25.531,340330.000
24.01.17 01:06:26.090,340330.000
24.01.17 01:06:26.095,340330.000
24.01.17 01:06:26.292,340330.000
24.01.17 01:06:26.300,340330.000
24.01.17 01:06:26.484,340330.000
24.01.17 01:06:26.668,340330.000
24.01.17 01:06:27.264,340330.000
24.01.17 01:06:27.358,340330.000
24.01.17 01:06:27.459,340330.000
24.01.17 01:06:27.471,340330.000
24.01.17 01:06:27.751,340330.000
24.01.17 01:06:28.328,340330.000
24.01.17 01:06:28.351,340330.000
24.01.17 01:06:28.438,340330.000
24.01.17 01:06:28.528,340330.000
24.01.17 01:06:28.717,340330.000
24.01.17 01:06:28.911,340330.000
24.01.17 01:06:29.107,340330.000
24.01.17 01:06:29.301,340330.000
24.01.17 01:06:29.498,340330.000
24.01.17 01:06:29.691,340330.000
24.01.17 01:06:29.886,340330.000
